#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
44	MX.70287	lahko	Myctophiformes		valokalat		Lanternfishes
		heimo	Neoscopelidae	Jordan, 1901	ulappavalottajat	ulappavalokalat	Blackchins
		heimo	Myctophidae	Gill, 1893	valottajat	valokalat	lanternfishes
45	MX.70284	lahko	Lampriformes		kiiltolahnakalat		
		heimo	Lampridae	Gill, 1862	kiiltolahnat		Opah
		heimo	Veliferidae	Bleeker, 1859	purje-evät		Velifers
		heimo	Lophotidae	Bonaparte, 1845	nauhakalat		Crestfishes
		heimo	Radiicephalidae	Osório, 1917	liuskapyrstöt		Tapertails
		heimo	Trachipteridae	Swainson, 1839	viikatekalat		Ribbonfishes
		heimo	Regalecidae	Gill, 1884	airokalat		Oarfishes
46		lahko	Percopsiformes		lohiahvenkalat		Trout-perches
		heimo	Percopsidae	Agassiz, 1850	lohiahvenet		Trout-perches
		heimo	Aphredoderidae	Bonaparte, 1845	piraattiahvenet		Pirate perches
		heimo	Amblyopsidae	Bonaparte, 1845	sokkokalat		Cavefishes
47	MX.70291	lahko	Zeiformes		pietarinkalat		Dories and their allies
		heimo	Cyttidae	Günther, 1860	murjottajapietarit		lookdown dories
		heimo	Oreosomatidae	Bleeker, 1859	oreot		Oreos
		heimo	Parazenidae	McAllister, 1968	paraseenit		Smooth dories, Parazen
		heimo	Zeniontidae	Myers, 1960	peitsipietarit		armoreye dories
		heimo	Grammicolepididae	Poey, 1873	vespot		Grammicolepidids
		heimo	Zeidae	Rafinesque, 1815	pietarinkalat		Dories
48		lahko	Stylephoriformes		lankapyrstökalat		
		heimo	Stylephoridae	Swainson, 1839	lankapyrstöt		Tube-eyes	Thread-tails
49	MX.53309	lahko	Gadiformes		turskakalat		Cods, Hakes and allies
		heimo	Bregmacerotidae	Gill, 1872	antenniturskat		Codlets
		heimo	Phycidae	Swainson, 1838	hankaturskat	luikeroturskat	Phycid hakes
		heimo	Gaidropsaridae	Jordan & Evermann, 1898	viiksimateet		Rocklings
	MX.206827	heimo	Lotidae	Bonaparte, 1835	mateet		Hakes, Burbots
	MX.53182	heimo	Gadidae	Rafinesque, 1810	turskat		Cods and haddocks
		heimo	Ranicipitidae	Bonaparte, 1835	nuijaturskat		Tadpole fishes
		heimo	Merlucciidae	Rafinesque, 1815	kummeliturskat		Merluccid hakes
		heimo	Euclichthyidae	Cohen, 1984	rihmaturskat		Eucla cods
		heimo	Muraenolepididae	Regan, 1903	mureenaturskat		Eel cods
		heimo	Melanonidae	Goode & Bean, 1896	veitsiturskat		Pelagic cods
		heimo	Trachyrincidae	Goode & Bean, 1896	nokkalestikalat		Armoured grenadiers
		heimo	Moridae	Moreau, 1881	morat		Morid cods
		heimo	Macruronidae	Regan, 1903	hokit		Hakes
		heimo	Lyconidae	Günther, 1887	atlantinhokit		Atlantic hakes
		heimo	Bathygadidae	Jordan & Evermann, 1898	syvännelestikalat		Rattails
		heimo	Steindachneriidae	Parr, 1942	lyhtyhokit		Luminous hakes
		heimo	Macrouridae	Bonaparte, 1831	lestikalat		Grenadiers	Rattails
50		lahko	Polymixiiformes		partakalat		Beardfishes
		heimo	Polymixiidae	Bleeker, 1859	partakalat		Beardfishes
51	MX.70282	lahko	Beryciformes		limapääkalat		
		alalahko	Berycoidei				
		heimo	Berycidae	Lowe, 1839	limapäät		Alfonsinos
		heimo	Melamphaidae	Gill, 1893	särmäpäät	harjapäät	Bigscale fishes	Ridgeheads
		alalahko	Stephanoberycoidei				Whalefishes and allies
		heimo	Stephanoberycidae	Gill, 1884	okakalat		Pricklefishes
