TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
MX.5087753			Somniosus rostratus 	Risso, 1827 	pikkuholkeri			
MX.5087754		suku	Zameus	Jordan & Fowler, 1903				
MX.5087755			Zameus squamulosus 	Günther 1877				
MX.5086324		heimo	Oxynotidae		purjehait			
MX.5087756		suku	Oxynotus	Rafinesque, 1810				
			Oxynotus bruniensis 	Ogilby, 1893 	harmaapurjehai			
			Oxynotus caribbaeus 	Cervigón, 1961 	läikkäpurjehai			
MX.5087757			Oxynotus centrina 	Linnaeus, 1758 	särmäpurjehai			
			Oxynotus japonicus 	Yano & Murofushi, 1985 	japaninpurjehai			
MX.5087759			Oxynotus paradoxus 	Frade, 1929	purjehai			
MX.5086325		heimo	Centrophoridae		pistinhait			
MX.5087760		suku	Centrophorus	Müller & Henle, 1837				
MX.5087761			Centrophorus granulosus 	Bloch & Schneider, 1801 	nystypistinhai			
MX.5087763			Centrophorus lusitanicus 	Barbosa du Bocage & Brito Capello, 1864  	sysipistinhai			
MX.5087765			Centrophorus squamosus 	Bonnaterre, 1788 	suomupistinhai			
MX.5087767			Centrophorus uyato 	Rafinesque, 1810 	harmaapistinhai	harmaapiikkihai		
MX.5087768		suku	Deania	Jordan & Snyder, 1902				
MX.5087769			Deania calcea 	Lowe, 1839 	lattahai			
MX.5087771			Deania hystricosa 	Garman, 1906 	okalattahai			
			Deania profundorum 	Smith & Radcliffe, 1912 	nokkalattahai			
			Deania quadrispinosa 	McCulloch, 1915	ruskolattahai			
MX.53090		heimo	Squalidae		piikkihait			
		suku	Cirrhigaleus	Tanaka, 1912				
			Cirrhigaleus asper 	Merrett, 1973 	karheapiikkihai			
MX.53292		suku	Squalus	Linnaeus, 1758				
MX.53091			Squalus acanthias 	Linnaeus, 1758 	piikkihai			
MX.5087772			Squalus blainville 	(Risso, 1827) 	nokkapiikkihai			
			Squalus bucephalus 	Last, Séret & Pogonoski, 2007 	härkäpiikkihai  			
MX.5087773			Squalus megalops 	(Macleay, 1881) 	töppöpiikkihai			
			Squalus melanurus 	Fourmanoir & Rivaton, 1979 	mustapyrstöpiikkihai			
			Squalus mitsukurii 	Jordan & Snyder, 1903 	lyhytpiikkihai			
MX.5086326		lahko	Echinorhiniformes		okahaikalat			
MX.5086327		heimo	Echinorhinidae		okahait			
MX.5087774		suku	Echinorhinus	Blainville, 1816				
MX.5087775			Echinorhinus brucus 	Bonnaterre, 1788 	okahai			
			Echinorhinus cookei 	Pietschmann, 1928	iso-okahai			
MX.5086328		lahko	Pristiophoriformes 		sahahaikalat			
MX.5086329		heimo	Pristiophoridae 		sahahait  			
		suku	Pliotrema	Regan, 1906				
			Pliotrema warreni 	Regan, 1906 	harmaasahahai 			
		suku	Pristiophorus	Müller & Henle, 1837				
			Pristiophorus cirratus 	(Latham, 1794) 	sahahai			
			Pristiophorus japonicus 	Günther, 1870 	japaninsahahai 			
			Pristiophorus nudipinnis 	Günther, 1870 	lyhytkuonosahahai 			
			Pristiophorus schroederi 	Springer & Bullis, 1960 	amerikansahahai 			
MX.70309		lahko	Squatiniformes 		merienkelikalat			
MX.5086330		heimo	Squatinidae 		merienkelit			
MX.5087776		suku	Squatina	Duméril, 1805				
MX.5087777			Squatina aculeata 	Cuvier, 1829 	piikkimerienkeli 			
			Squatina africana 	Regan, 1908 	afrikanmerienkeli 			
			Squatina argentina 	(Marini, 1930) 	argentiinanmerienkeli			
			Squatina australis 	Regan, 1906 	mosaiikkimerienkeli 			
			Squatina californica 	Ayres, 1859	kirjomerienkeli			
			Squatina dumeril 	Lesueur, 1818 	atlantinmerienkeli			
			Squatina formosa 	Shen & Ting, 1972 	taiwaninmerienkeli 			
			Squatina japonica 	Bleeker, 1858 	idänmerienkeli 			
			Squatina mexicana 	Castro-Aguirre, Espinoza-Pérez & Huidobro-Campos, 2007 	meksikonmerienkeli			
			Squatina nebulosa 	Regan, 1906 	sumumerienkeli 			
MX.5087779			Squatina oculata 	Bonaparte, 1840 	täplämerienkeli			
MX.5087781			Squatina squatina 	(Linnaeus, 1758) 	merienkeli 			
			Squatina tergocellata 	McCulloch, 1914 	rengasmerienkeli 			
			Squatina tergocellatoides 	Chen, 1963 	pyörylämerienkeli			
MX.70310		lahko	Torpediniformes		sähkörauskukalat			
MX.5086331		heimo	Platyrhinidae		lapiorauskut			
		suku	Platyrhina	Müller & Henle, 1838				
			Platyrhina sinensis 	Bloch & Schneider, 1801 	viuhkalapiorausku			
		suku	Platyrhinoidis	Garman, 1881				
			Platyrhinoidis triseriata 	Jordan & Gilbert, 1880	okalapiorausku			
MX.5086332		heimo	Narkidae		torkkurauskut			
		suku	Crassinarke	Takagi, 1951				
			Crassinarke dormitor 	Takagi, 1951	pulleatorkkurausku			
		suku	Electrolux	Compagno & Heemstra, 2007				
			Electrolux addisoni 	Compagno & Heemstra, 2007	korutorkkurausku			
		suku	Heteronarce	Regan, 1921				
			Heteronarce bentuviai 	(Baranes & Randall, 1989) 	täplätorkkurausku			
			Heteronarce garmani 	Regan, 1921 	hoikkatorkkurausku			
			Heteronarce mollis 	(Lloyd, 1907) 	pehmotorkkurausku			
			Heteronarce prabhui 	Talwar, 1981	arabiantorkkurausku			
		suku	Narke	Kaup, 1826				
			Narke capensis 	(Gmelin, 1789) 	kiekkotorkkurausku			
			Narke dipterygia 	(Bloch & Schneider, 1801) 	torkkurausku			
			Narke japonica 	(Temminck & Schlegel, 1850)	kuparitorkkurausku			
		suku	Temera	Gray, 1831				
			Temera hardwickii 	Gray, 1831	töpötorkkurausku			
		suku	Typhlonarke	Waite, 1909				
			Typhlonarke aysoni 	(Hamilton, 1902)  	sokkotorkkurausku			
			Typhlonarke tarakea 	Phillipps, 1929	soukkatorkkurausku			
MX.5086333		heimo	Narcinidae		pyörösähkörauskut			
		suku	Benthobatis	Alcock, 1898				
			Benthobatis moresbyi 	Alcock, 1898	sokkosähkörausku			
		suku	Diplobatis	Bigelow & Schroeder, 1948				
			Diplobatis ommata 	(Jordan & Gilbert, 1890)	rengassähkörausku			
		suku	Narcine	Henle, 1834				
			Narcine brasiliensis 	(Olfers, 1831) 	pikkusähkörausku			
			Narcine brevilabiata 	Bessednov, 1966 	huulisähkörausku			
			Narcine entemedor 	Jordan & Starks 1895 	jättisähkörausku			
			Narcine vermiculatus 	Breder, 1928 	sokkelosähkörausku			
		suku	Narcinops	Whitley, 1940				
			Narcinops westraliensis 	(McKay, 1966)	vyösähkörausku			
MX.5086334		heimo	Hypnidae		lautasrauskut			
		suku	Hypnos	Duméril, 1852				
			Hypnos monopterygius 	(Shaw, 1795) 	lautasrausku			
MX.5086335		heimo	Torpedinidae		sähkörauskut			
		suku	Tetronarce	Gill, 1862				
			Tetronarce californica 	Ayres, 1855 	kaliforniansähkörausku			
			Tetronarce nobiliana 	(Bonaparte, 1835) 	sysisähkörausku			
			Tetronarce tremens 	de Buen, 1959 	perunsähkörausku			
MX.5087782		suku	Torpedo	Duméril, 1806				
			Torpedo bauchotae 	Cadenat Capapé & Desoutter, 1978 	rusettisähkörausku			
			Torpedo fuscomaculata 	Peters 1855 	laikkusähkörausku			
MX.5087783			Torpedo marmorata 	Risso, 1810 	marmorisähkörausku			
			Torpedo panthera 	Olfers, 1831 	pantterisähkörausku			
MX.5087787			Torpedo torpedo 	(Linnaeus, 1758)	silmäsähkörausku			
MX.5086336		lahko	Rhinopristiformes		saharauskukalat			
MX.5086337		heimo	Trygonorrhinidae		banjorauskut			
		suku	Aptychotrema	Norman, 1926				
			Aptychotrema rostrata 	Shaw, 1794 	nokkabanjorausku	nokkakitararausku		
			Aptychotrema vincentiana 	Haacke, 1885	australianbanjorausku	australiankitararausku		
		suku	Trygonorrhina	Müller & Henle, 1838				
			Trygonorrhina dumerilii 	(Castelnau, 1873) 	harakkabanjorausku			
			Trygonorrhina fasciata 	Müller & Henle, 1841	juovabanjorausku			
		suku	Zapteryx	Jordan & Gilbert, 1880				
			Zapteryx exasperata 	Jordan & Gilbert, 1880 	vyökitararausku			
MX.5086338		heimo	Rhinobatidae		kitararauskut			
		suku	Acroteriobatus	Giltay, 1928				
			Acroteriobatus annulatus 	(Müller & Henle, 1841) 	rengaskitararausku			
		suku	Pseudobatos	Last, Séret & Naylor, 2016				
			Pseudobatos lentiginosus 	(Garman, 1880) 	täpläkitararausku			
			Pseudobatos percellens 	(Walbaum, 1792) 	keltakuonokitararausku			
			Pseudobatos planiceps 	(Garman, 1880) 	perunkitararausku			
			Pseudobatos productus 	(Ayres, 1854)	amerikankitararausku			
MX.5087788		suku	Rhinobatos	Linck, 1790				
			Rhinobatos albomaculatus	Norman, 1930 	tähtikitararausku			
			Rhinobatos lionotus 	Norman, 1926 	jokikitararausku			
MX.5087789			Rhinobatos rhinobatos 	Linnaeus, 1758 	kitararausku			
MX.5086339		heimo	Rhinidae		kiilarauskut			
		suku	Rhina	Bloch & Schneider, 1801				
			Rhina ancylostoma 	Bloch & Schneider, 1801	helmilapiorausku			
		suku	Rhynchobatus	Müller & Henle, 1837				
			Rhynchobatus djiddensis 	(Forsskål, 1775) 	jättikiilarausku	jättikitararausku		
			Rhynchobatus luebberti 	Ehrenbaum, 1915 	helmikiilarausku	helmikitararausku		
MX.5086340		heimo	Glaucostegidae		jättikitararauskut			
MX.5087790		suku	Glaucostegus	Bonaparte, 1846				
MX.5087793			Glaucostegus cemiculus 	(Geoffroy St. Hilaire, 1817) 	kirsukitararausku			
			Glaucostegus granulatus 	Cuvier, 1829 	kiilakitararausku			
MX.5087791			Glaucostegus halavi 	Forsskål, 1775 	omaninkitararausku			
			Glaucostegus obtusus 	(Müller & Henle, 1841) 	tylppäkitararausku			
MX.5087795			Glaucostegus thouin 	(Anonymous, 1798) 	karttukitararausku			
			Glaucostegus typus 	(Bennett, 1830) 	jättikitararausku			
MX.5086341		heimo	Pristidae		saharauskut			
		suku	Anoxypristis	White & Moy-Thomas, 1941				
			Anoxypristis cuspidata 	(Latham, 1794)	puukkosaharausku			
MX.5087796		suku	Pristis	Linck, 1790				
			Pristis clavata 	Garman, 1906	pikkusaharausku			
MX.5087797			Pristis pectinata	Latham, 1794 	saharausku			
MX.5087799			Pristis pristis 	(Linnaeus, 1758)	harmaasaharausku			
			Pristis zijsron 	Bleeker, 1851	kampasaharausku			
MX.70308		lahko	Rajiformes		rauskukalat			
MX.5086342		heimo	Rajidae		rauskut			
MX.5087800		suku	Amblyraja	Malm, 1877				
			Amblyraja georgiana 	(Norman, 1938) 	jäätikkörausku 	georgianrausku		
MX.5087801			Amblyraja hyperborea 	(Collett, 1879) 	jäärausku			
MX.5087803			Amblyraja jenseni 	(Bigelow & Schroeder, 1950) 	lyhytpyrstörausku			
MX.5087805			Amblyraja radiata 	(Donovan, 1808) 	kynsirausku			
			Amblyraja robertsi 	(Hulley, 1970) 	kitarausku			
		suku	Beringraja	Ishihara, Treloar, Bor, Senou & Jeong, 2012				
			Beringraja binoculata	(Girard, 1855)	isorausku			
			Beringraja inornata 	(Jordan & Gilbert, 1881) 	kalifornianrausku			
			Beringraja pulchra 	(Liu 1932) 	kirjorausku			
			Beringraja stellulata 	Jordan & Gilbert, 1880	piikkirausku			
		suku	Dentiraja	Whitley, 1940				
			Dentiraja australis	(Macleay, 1884) 	australianrausku			
			Dentiraja lemprieri 	(Richardson, 1845) 	täpläkuonorausku			
MX.5087806		suku	Dipturus	Rafinesque, 1810				
MX.5087807			Dipturus batis 	(Linnaeus, 1758) 	silorausku			
			Dipturus laevis 	(Mitchill, 1818) 	leveärausku			
MX.5087811			Dipturus nidarosiensis 	(Storm, 1881) 	mustavatsarausku			
MX.5087813			Dipturus oxyrinchus 	(Linnaeus, 1758) 	vannasrausku			
MX.5087814		suku	Leucoraja	Malm, 1877				
MX.5087815			Leucoraja circularis 	(Couch, 1838) 	hietarausku			
			Leucoraja erinacea 	(Mitchill, 1825) 	siloselkärausku			
MX.5087817			Leucoraja fullonica 	(Linnaeus, 1758) 	käkirausku			
			Leucoraja garmani 	(Whitley, 1939) 	rusettirausku			
MX.5087819			Leucoraja melitensis 	(Clark, 1926) 	maltanrausku			
MX.5087821			Leucoraja naevus 	(Müller & Henle, 1841) 	marmorirausku			
			Leucoraja ocellata 	(Mitchill, 1815) 	täplärausku			
MX.5087822		suku	Malacoraja	Stehmann, 1970				
MX.5087823			Malacoraja kreffti 	(Stehmann, 1978) 	herttarausku			
			Malacoraja senta 	(Garman, 1885) 	pisamarausku 			
MX.5087825			Malacoraja spinacidermis 	(Barnard, 1923)	tummavatsarausku			
MX.5087826		suku	Neoraja	McEachran & Compagno, 1982				
MX.5087827			Neoraja caerulea 	(Stehmann, 1976) 	sinirausku			
MX.5087829			Neoraja iberica 	Stehmann, Séret, Costa & Baro, 2008 	iberianrausku			
MX.5087830		suku	Raja	Linnaeus, 1758				
MX.5087831			Raja africana 	Capapé, 1977 	afrikanrausku			
MX.5087833			Raja asterias 	Delaroche, 1809 	tähtirausku			
MX.5087835			Raja brachyura 	Lafont, 1873 	pilkkurausku			
MX.5087837			Raja clavata 	Linnaeus, 1758 	okarausku			
			Raja eglanteria 	Bosc, 1800	ikkunarausku			
MX.5087839			Raja maderensis 	Lowe, 1838 	madeiranrausku			
MX.5087841			Raja microocellata 	Montagu, 1818 	palettirausku			
MX.5087843			Raja miraletus 	Linnaeus, 1758 	peilirausku			
MX.5087845			Raja montagui 	Fowler, 1910 	pisterausku			
MX.5087847			Raja polystigma 	Regan, 1923	silmärausku			
MX.5087849			Raja radula 	Delaroche, 1809 	karhorausku			
MX.5087851			Raja undulata 	Lacépède, 1802	aaltorausku			
MX.5087852		suku	Rajella	Stehmann, 1970				
MX.5087853			Rajella bathyphila 	Holt & Byrne, 1908 	syvännerausku			
MX.5087855			Rajella bigelowi 	Stehmann, 1978 	pilkkupyrstörausku			
MX.5087857			Rajella fyllae 	Lütken, 1887 	pyöröevärausku	pyörörausku		
MX.5087859			Rajella kukujevi 	Dolganov, 1985 	valkoselkärausku			
			Rajella lintea 	Fries, 1838 	valkorausku			
MX.5087860		suku	Rostroraja	Hulley, 1972				
MX.5087861			Rostroraja alba 	(Lacépède, 1803) 	pullonokkarausku			
			Rostroraja eglanteria 	Bosc, 1800	ikkunarausku			
			Rostroraja texana 	(Chandler, 1921) 	texasinrausku			
		suku	Spiniraja	Whitley, 1939				
			Spiniraja whitleyi	(Iredale, 1938)	kiilakuonorausku			
MX.5086343		heimo	Arhynchobatidae		pehmorauskut			
MX.5087862		suku	Bathyraja	Ishiyama, 1958				
MX.5087863			Bathyraja pallida 	(Forster, 1967) 	kalvaspehmorausku			
MX.5087865			Bathyraja richardsoni 	(Garrick, 1961) 	harmaapehmorausku			
MX.5087867			Bathyraja spinicauda 	(Jensen, 1914) 	piikkipyrstörausku			
MX.5086344		heimo	Gurgesiellidae		rauskuset			
		suku	Cruriraja	Bigelow & Schroeder, 1948				
			Cruriraja atlantis 	Bigelow & Schroeder, 1948 	kuubanrauskunen			
			Cruriraja durbanensis 	(von Bonde & Swart, 1923) 	pehmokuonorauskunen			
		suku	Fenestraja	McEachran & Compagno, 1982				
			Fenestraja cubensis 	(Bigelow & Schroeder, 1950) 	bahamanrauskunen			
		suku	Gurgesiella	de Buen, 1959				
			Gurgesiella atlantica 	(Bigelow & Schroeder, 1962) 	atlantinrauskunen			
			Gurgesiella dorsalifera 	McEachran & Compagno, 1980 	brasilianrauskunen			
			Gurgesiella furvescens 	de Buen, 1959 	tummarauskunen			
MX.5086345		heimo	Anacanthobatidae		jalkarauskut			
		suku	Anacanthobatis	von Bonde & Swart, 1923				
			Anacanthobatis marmoratus 	(von Bonde & Swart, 1923)	amerikanjalkarausku			
MX.70307		lahko	Myliobatiformes		kotkarauskukalat			
MX.5086346		heimo	Zanobatidae		pannurauskut			
MX.5087868		suku	Zanobatus	Garman, 1913				
MX.5087869			Zanobatus schoenleinii 	(Müller & Henle, 1841)	seeprapannurausku	seeprabanjorausku		
MX.5086347		heimo	Hexatrygonidae		nokkarauskut			
		suku	Hexatrygon	Heemstra & Smith, 1980				
			Hexatrygon bickelli	Heemstra & Smith, 1980	nokkarausku			
MX.5086348		heimo	Dasyatidae		keihäsrauskut			
		alaheimo	Dasyatinae					
		suku	Bathytoshia	Whitley, 1933				
			Bathytoshia brevicaudata 	(Hutton, 1875) 	isokeihäsrausku			
			Bathytoshia centroura 	(Mitchill, 1815) 	okakeihäsrausku			
			Bathytoshia lata 	(Garman, 1880)	leveäkeihäsrausku			
MX.5087870		suku	Dasyatis	Rafinesque, 1810				
			Dasyatis chrysonota 	Smith, 1828 	sinikeihäsrausku			
MX.5087873			Dasyatis marmorata 	Steindachner, 1892 	marmorikeihäsrausku			
MX.5087875			Dasyatis pastinaca 	Linnaeus, 1758 	keihäsrausku			
MX.5087877			Dasyatis tortonesei 	Capapé, 1975	keltakeihäsrausku			
		suku	Hemitrygon	Müller & Henle, 1838				
			Hemitrygon akajei 	(Müller & Henle, 1841) 	punakeihäsrausku			
			Hemitrygon fluviorum 	(Ogilby, 1908) 	suistokeihäsrausku			
			Hemitrygon laosensis 	(Roberts & Karnasuta, 1987) 	mekonginkeihäsrausku			
		suku	Hypanus	Rafinesque, 1818				
			Hypanus americanus 	(Hildebrand & Schroeder, 1928) 	ruskokeihäsrausku			
			Hypanus dipterurus 	(Jordan & Gilbert, 1880) 	piiskakeihäsrausku			
			Hypanus sabinus 	(Lesueur, 1824) 	atlantinkeihäsrausku			
MX.5087880		suku	Pteroplatytrygon	Fowler, 1910				
MX.5087881			Pteroplatytrygon violacea	(Bonaparte, 1832)	ulappakeihäsrausku			
		suku	Taeniurops	Garman, 1913				
			Taeniurops grabata 	(Geoffroy Saint-Hilaire, 1817) 	pyörökeihäsrausku			
			Taeniurops meyeni 	(Müller & Henle, 1841)	naamiokeihäsrausku			
		alaheimo	Neotrygoninae					
		suku	Neotrygon	Castelnau, 1873				
			Neotrygon kuhlii 	(Müller & Henle, 1841) 	safiirikeihäsrausku			
			Neotrygon trigonoides 	(Castelnau, 1873) 	kesakkokeihäsrausku			
MX.5087882		suku	Taeniura	Müller & Henle, 1837				
			Taeniura lymma 	(Forsskål, 1775)	täpläkeihäsrausku			
		alaheimo	Urogymninae		siimarauskut			
		suku	Brevitrygon	Last, Naylor & Manjaji-Matsumoto, 2016				
			Brevitrygon imbricata 	(Bloch & Schneider, 1801) 	suistosiimarausku			
		suku	Fluvitrygon	Last, Naylor & Manjaji-Matsumoto, 2016				
			Fluvitrygon oxyrhynchus 	(Sauvage, 1878) 	mekonginsiimarausku			
		suku	Fontitrygon	Last, Naylor & Manjaji-Matsumoto, 2016				
			Fontitrygon garouaensis 	(Stauch & Blanc, 1962) 	nigerinsiimarausku	jokikeihäsrausku		
			Fontitrygon ukpam 	(Smith, 1863)	kongonpiikkirausku			
MX.5087878		suku	Himantura	Müller & Henle, 1837				
MX.5087879			Himantura uarnak 	(Gmelin, 1789) 	leopardisiimarausku			
		suku	Maculabatis	Last, Naylor & Manjaji-Matsumoto, 2016				
			Maculabatis toshi 	(Whitley, 1939)	ruskosiimarausku			
		suku	Pateobatis	Last, Naylor & Manjaji-Matsumoto, 2016				
			Pateobatis fai 	(Jordan & Seale, 1906) 	ruususiimarausku			
			Pateobatis jenkinsii 	(Annandale, 1909) 	lohikäärmerausku			
		suku	Urogymnus	Müller & Henle, 1837				
			Urogymnus asperrimus 	(Bloch & Schneider, 1801) 	siilirausku			
			Urogymnus dalyensis 	(Last & Manjaji-Matsumoto 2008) 	australiansiimarausku			
			Urogymnus granulatus 	(Macleay, 1883) 	tähtisiimarausku			
			Urogymnus polylepis 	(Bleeker, 1852) 	jokisiimarausku			
		alaheimo	Hypolophinae		häntärauskut			
		suku	Makararaja	Roberts, 2007				
			Makararaja chindwinensis	Roberts, 2007	siimahäntärausku			
		suku	Pastinachus	Rüppell, 1829				
			Pastinachus ater 	(Macleay, 1883) 	purjehäntärausku			
			Pastinachus gracilicaudus	Last & Manjaji-Matsumoto, 2010 	sirohäntärausku			
			Pastinachus sephen 	(Forsskål, 1775) 	lehmänhäntärausku			
			Pastinachus solocirostris 	Last, Manjaji & Yearsley, 2005 	indonesianhäntärausku			
			Pastinachus stellurostris 	Last, Fahmi & Naylor, 2010 	borneonhäntärausku			
MX.5086349		heimo	Potamotrygonidae		jokirauskut			
		suku	Heliotrygon	Carvalho & Lovejoy, 2011				
			Heliotrygon gomesi 	de Carvalho & Lovejoy, 2011 	harmaajokirausku			
			Heliotrygon rosai 	de Carvalho & Lovejoy, 2011	kudosjokirausku			
		suku	Paratrygon	Duméril, 1865				
			Paratrygon aiereba	(Müller & Henle, 1841)	mosaiikkijokirausku			
		suku	Plesiotrygon	Rosa, Castello & Thorson, 1987				
			Plesiotrygon iwamae 	Rosa, Castello & Thorson, 1987	siimajokirausku			
		suku	Potamotrygon	Garman, 1877				
			Potamotrygon adamastor 	Fontenelle  & de Carvalho R., 2017 	ryynijokirausku			
			Potamotrygon albimaculata 	de Carvalho, 2016 	valkopilkkujokirausku			
			Potamotrygon amandae 	Loboda & de Carvalho, 2013 	pisamajokirausku			
			Potamotrygon amazona 	Fontenelle  & de Carvalho R., 2017 	amazoninjokirausku			
			Potamotrygon boesemani 	Rosa, de Carvalho & Wanderley 2008 	silmäkejokirausku			
			Potamotrygon brachyura 	(Günther, 1880) 	töppöjokirausku			
			Potamotrygon constellata 	(Vaillant, 1880) 	okajokirausku			
			Potamotrygon falkneri 	Castex & Maciel, 1963 	keltatäpläjokirausku 	tiikerijokirausku		
			Potamotrygon garmani 	Fontenelle  & de Carvalho R., 2017 	tuikkujokirausku			
			Potamotrygon henlei 	(Castelnau, 1855) 	helmijokirausku			
			Potamotrygon histrix 	(Müller & Henle, 1834) 	marmorijokirausku			
			Potamotrygon humerosa 	Garman, 1913 	kuviojokirausku			
			Potamotrygon jabuti 	de Carvalho, 2016 	rinkulajokirausku			
			Potamotrygon leopoldi 	Castex & Castello, 1970 	mustajokirausku			
			Potamotrygon limai 	Fontenelle, Silva & de Carvalho, 2014 	ruutujokirausku			
			Potamotrygon magdalenae 	(Duméril, 1865) 	kennojokirausku			
			Potamotrygon marinae 	Deynat, 2006 	kultajokirausku			
			Potamotrygon marquesi 	Silva & Loboda, 2019	rinkulajokirausku			
			Potamotrygon motoro 	(Müller & Henle, 1841) 	riikinkukkorausku			
			Potamotrygon ocellata 	(Engelhardt, 1912) 	rengasjokirausku			
			Potamotrygon orbignyi 	(Castelnau, 1855) 	ketjujokirausku			
			Potamotrygon pantanensis	Loboda & de Carvalho, 2013 	pantanalinjokirausku			
			Potamotrygon rex 	de Carvalho, 2016 	kuningasjokirausku			
			Potamotrygon schroederi 	Fernández-Yépez, 1958 	kukkajokirausku			
			Potamotrygon schuhmacheri 	Castex, 1964 	parananjokirausku			
			Potamotrygon scobina 	Garman, 1913 	pastellijokirausku			
			Potamotrygon signata 	Garman, 1913 	keltapilkkujokirausku			
