TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
		Beaucarnea recurvata 	(K.Koch & Fintelm.) Lem.		Beaucarnea	huiskupullojukka				
		Begonia bowerae	Ziesenh.	MX.42822	Begonia	silmäripsibegonia				
	suku	Bismarckia	Hildebrandt & H.Wendl.	MX.41726	Arecaceae	kanslerinpalmut				
		Bismarckia nobilis 	Hildebrandt & H.Wendl.		Bismarckia	kanslerinpalmu				
		Callianthe megapotamica	(A.Spreng.) Dorr	MX.38687	Malvaceae	lyhtyaulio				syn. Abutilon megapotamicum (A.Spreng.) A.St.-Hil. & Naudin
		Callistemon viminalis	(Sol. ex Gaertn.) G.Don	MX.4985865	Callistemon	norjalamppuharja				syn. Melaleuca viminalis (Sol. ex Gaertn.) Byrnes
		Carnegiea gigantea	(Engelm.) Britton & Rose	MX.4985864	Cactaceae	jättikaktus	jättiläiskaktus			
	suku	Cassytha	Osbeck	MX.41737	Lauraceae	loislaakerit				
		Cassytha filiformis 	L.		Cassytha	etelänloislaakeri				
		Cenchrus ciliaris	L.	MX.41802	Cenchrus	hahtuharjasheinä	harjasheinä			
	suku	Cephalotus	Labill.	MX.4986448	Cephalotaceae	maarulehdet				
		Cephalotus follicularis	Labill.		Cephalotus	maarulehti				
		Chlorophytum comosum	(Thunb.) Jacques	MX.5023120	Chlorophytum	kirjorönsylilja				
		Chlorophytum tuberosum	(Roxb.) Baker	MX.5023120	Chlorophytum	rohtorönsylilja				
	suku	Cistanche	Hoffmanns. & Link	MX.41740	Orobanchaceae	maahikit				
		Cistanche phelypaea	(L.) Cout.		Cistanche	hietamaahikki				
		Cistanche tubulosa	(Schenk) Wight ex Hook.f.		Cistanche	kultamaahikki				
	nothospecies	Clerodendrum ×speciosum 	W.Bull	MX.5009036	Clerodendrum	palokohtalonköynnös				
	suku	Coccoloba	P.Browne	MX.38210	Polygonaceae	norsunkorvat				
		Coccoloba uvifera 	(L.) L.		Coccoloba	terttunorsunkorva	norsunkorva			
	suku	Cochemiea	(K.Brandegee) Walton	MX.4985864	Cactaceae	patukkakaktukset				
		Cochemiea grahamii	(Engelm.) Doweld		Cochemiea	arizonanpatukkakatus				
	suku	Colletia	Comm. ex Juss.	MX.39267	Rhamnaceae	kolletiat				
		Colletia paradoxa	(Spreng.) Escal.		Colletia	siipikolletia	kolletia			
		Commiphora merkeri	Engl.	MX.5009277	Commiphora	masainmirhapuu				
		Commiphora mildbraedii 	Engl.	MX.5009277	Commiphora	puikomirhapuu				
		Cordyline australis	(G.Forst.) Endl.	MX.5023121	Cordyline	viherliljapuu				
		Cordyline fruticosa	(L.) A.Chev.	MX.5023121	Cordyline	verililjapuu				
	suku	Couroupita	Aubl.	MX.4986570	Lecythidaceae	kuulapuut	kanuunankuulapuut			
		Couroupita guianensis 	Aubl.		Couroupita	kanuunankuulapuu				
		Curio repens	(L.) P.V.Heath	MX.4986720	Curio	sinipulskavillakko	sinimehivillakko			
		Cylindropuntia acanthocarpa	(Engelm. & J.M.Bigelow) F.M.Knuth	MX.5023214	Cylindropuntia	sarvilieriöopuntia				
		Cylindropuntia bigelovii	(Engelm.) F.M.Knuth	MX.5023214	Cylindropuntia	mojavenlieriöopuntia				
		Cylindropuntia fulgida	(Engelm.) F.M.Knuth	MX.5023214	Cylindropuntia	nuijalieriöopuntia				
		Cylindropuntia leptocaulis	(DC.) F.M.Knuth	MX.5023214	Cylindropuntia	kynälieriöopuntia				
		Cymbopogon pospischilii	(K.Schum.) C.E.Hubb.	MX.5023528	Cymbopogon	tansaniansitrusheinä				
	suku	Cymodocea	K.D.Koenig	MX.4986363	Cymodoceaceae	suolanauhat				
		Cymodocea rotundata	Asch. & Schweinf.		Cymodocea	aasiansuolanauha				
		Cyperus niveus	Retz.	MX.41836	Cyperus	helmisädekaisla				
	suku	Dendrosenecio	(Hauman ex Hedberg) B.Nord.	MX.39723	Asteraceae	jättivillakot				
		Dendrosenecio elgonensis	(T.C.E.Fr.) E.B.Knox		Dendrosenecio	elgoninjättivillakko	jättivillakko			
	alalaji	Dendrosenecio elgonensis subsp. barbatipes	(Hedberg) E.B.Knox		Dendrosenecio elgonensis	partaelgoninjättivillakko	partajättivillakko			
	suku	Dieffenbachia	Schott	MX.40090	Araceae	kirjovehkat				
